alpha,precision@5,recall@5,ndcg@5
0.0,0.1254125412541254,0.1254125412541254,0.08730414428833125
0.1,0.15841584158415842,0.15841584158415842,0.10299259603062848
0.2,0.19471947194719474,0.19471947194719472,0.1352081670147797
0.3,0.2607260726072607,0.2607260726072607,0.18170205093075223
0.4,0.3894389438943895,0.38943894389438943,0.2612046827719088
0.5,0.570957095709571,0.570957095709571,0.37628489886108235
0.6,0.7392739273927393,0.7392739273927392,0.499970956315829
0.7,0.8085808580858087,0.8085808580858086,0.5753255732351685
0.8,0.8382838283828384,0.8382838283828383,0.6384758857976842
0.9,0.8415841584158414,0.8415841584158416,0.6933708457999748
1.0,0.8514851485148514,0.8514851485148515,0.7241744930765971
