,Random,Popularity,Content-Based,CF-NMF,CF-SVD,Hybrid
precision@1,0.0033,0.0033,0.6172,0.0726,0.2178,0.6172
recall@1,0.0033,0.0033,0.6172,0.0726,0.2178,0.6172
hit_rate@1,0.0033,0.0033,0.6172,0.0726,0.2178,0.6172
ndcg@1,0.0033,0.0033,0.6172,0.0726,0.2178,0.6172
precision@3,0.0099,0.0099,0.8119,0.1386,0.396,0.8119
recall@3,0.0099,0.0099,0.8119,0.1386,0.396,0.8119
hit_rate@3,0.0099,0.0099,0.8119,0.1386,0.396,0.8119
ndcg@3,0.0066,0.007,0.7327,0.1108,0.3225,0.7327
precision@5,0.0165,0.0165,0.8845,0.2046,0.4752,0.8845
recall@5,0.0165,0.0165,0.8845,0.2046,0.4752,0.8845
hit_rate@5,0.0165,0.0165,0.8845,0.2046,0.4752,0.8845
ndcg@5,0.0094,0.0097,0.7628,0.1378,0.3556,0.7628
precision@10,0.0429,0.033,0.9472,0.2772,0.5644,0.9472
recall@10,0.0429,0.033,0.9472,0.2772,0.5644,0.9472
hit_rate@10,0.0429,0.033,0.9472,0.2772,0.5644,0.9472
ndcg@10,0.0179,0.015,0.7833,0.1604,0.3841,0.7833
mrr,0.0106,0.0097,0.7306,0.1249,0.3272,0.7306
coverage,1.0,0.033,1.0,0.6601,0.9703,1.0
diversity@5,0.6227,0.3872,0.2308,0.5982,0.5338,0.2308
